param,name,side
p_i1271_2_,textureHeight,-1
p_70463_1_,row,-1
p_78888_1_,sbb,-1
p_i45298_1_,server,-1
p_i1271_1_,textureWidth,-1
p_i1227_12_,zSpeed,-1
p_i45298_2_,networkManager,-1
p_71043_1_,ignoreHunger,-1
p_i1005_1_,mc,-1
p_72824_1_,partialTicks,-1
p_145891_0_,hopper,-1
p_153029_1_,ingestServer,-1
p_i1175_2_,textureOffsetY,-1
p_75141_2_,stack,-1
p_148747_1_,key,-1
p_145951_1_,name,-1
p_71247_5_,type,-1
p_i1702_1_,world,-1
p_i1175_1_,textureOffsetX,-1
p_75141_1_,slotID,-1
p_71247_6_,generatorOptions,-1
p_71247_2_,worldName,-1
p_77551_1_,pingResponse,-1
p_71247_3_,seed,-1
p_110134_1_,listener,-1
p_i1714_1_,world,-1
p_77551_2_,ipAddress,-1
p_i1151_1_,scale,-1
p_i1596_7_,isAnimal,-1
p_72381_1_,target,-1
p_150808_1_,posX,-1
p_i1596_6_,isPeacefulCreature,-1
p_72381_2_,source,-1
p_150808_2_,posY,-1
p_96552_1_,objective,-1
p_75887_0_,key,-1
p_110146_1_,bodyRotation,-1
p_72790_1_,entity,-1
p_72381_3_,world,-1
p_150808_3_,posZ,-1
p_74308_1_,settingOption,-1
p_78912_1_,cameraEntity,-1
p_75887_1_,secretKeyEncrypted,-1
p_i1163_1_,scale,-1
p_110146_2_,headRotation,-1
p_i45191_1_,entity,-1
p_77840_4_,y,-1
p_149256_1_,index,-1
p_77514_0_,rand,-1
p_i45308_1_,statId,-1
p_153163_1_,v0,-1
p_153163_0_,location,-1
p_77514_1_,enchantNum,-1
p_77142_0_,name,-1
p_i45308_2_,statName,-1
p_145999_1_,name,-1
p_77840_2_,x,-1
p_110195_1_,growth,-1
p_77514_2_,power,-1
p_110326_1_,message,-1
p_153175_1_,pname,-1
p_77840_1_,entityID,-1
p_i45178_1_,matches,-1
p_77514_3_,stack,-1
p_110326_2_,animateColor,-1
p_153175_0_,program,-1
p_147735_1_,fence,-1
p_77840_0_,world,-1
p_147723_3_,y,-1
p_72956_2_,sound,-1
p_71247_1_,saveName,-1
p_147723_4_,z,-1
p_147735_2_,x,-1
p_75128_1_,player,-1
p_i45166_2_,type,-1
p_72956_1_,entity,-1
p_85172_2_,chunk,-1
p_75128_2_,canCraft,-1
p_147723_1_,block,-1
p_150653_1_,rail,-1
p_77502_0_,player,-1
p_82338_1_,alpha,-1
p_i45166_1_,entity,-1
p_72956_4_,andFrequency,-1
p_85172_1_,player,-1
p_147723_2_,x,-1
p_72956_3_,volume,-1
p_146350_1_,ticksUntilEnable,-1
p_147049_1_,tab,-1
p_i1775_6_,z,-1
p_147760_1_,block,-1
p_i1787_4_,y,-1
p_92103_2_,recipeComponents,-1
p_147050_1_,tab,-1
p_75742_2_,dataIdentifier,-1
p_147760_2_,x,-1
p_135043_1_,resourcesPacks,-1
p_i1763_8_,givenItem,-1
p_147760_3_,y,-1
p_92103_1_,stack,-1
p_76563_3_,partialTicks,-1
p_72921_5_,flag_,-1
p_76599_2_,z,-1
p_i1775_4_,y,-1
p_75742_1_,clazz,-1
p_147735_3_,y,-1
p_147772_2_,x,-1
p_96443_1_,scoreboard,-1
p_i1787_2_,x,-1
p_147772_1_,block,-1
p_147760_4_,z,-1
p_76599_1_,x,-1
p_72921_4_,metadata,-1
p_147772_3_,y,-1
p_147735_4_,z,-1
p_147460_4_,block_,-1
p_150930_0_,nbt,-1
p_i45105_1_,minecart,-1
p_76563_1_,worldTime,-1
p_i1787_1_,world,-1
p_i1763_6_,z,-1
p_i1775_2_,x,-1
p_73044_2_,progressCallback,-1
p_72921_3_,z,-1
p_78263_1_,character,-1
p_148147_1_,button,-1
p_i45129_1_,data,-1
p_i1775_1_,world,-1
p_76599_3_,maxValue,-1
p_72921_2_,y,-1
p_73044_1_,all,-1
p_i45130_1_,data,-1
p_i1763_4_,y,-1
p_82566_1_,world,-1
p_72921_1_,x,-1
p_147049_3_,mouseY,-1
p_i1763_1_,world,-1
p_78275_1_,bidiFlag,-1
p_147049_2_,mouseX,-1
p_i1763_2_,x,-1
p_147496_1_,world,-1
p_110472_1_,frame,-1
p_78084_1_,partName,-1
p_i1596_3_,creatureClass,-1
p_147447_2_,look,-1
p_147459_1_,x,-1
p_147796_4_,z,-1
p_147447_3_,stopOnLiquid,-1
p_146614_1_,index,-1
p_i1596_5_,creatureMaterial,-1
p_82229_1_,villager,-1
p_78214_1_,angle,-1
p_i45405_1_,material,-1
p_i1596_4_,maxNumberOfCreature,-1
p_76705_1_,x,-1
p_147447_1_,position,-1
p_i1726_1_,world,-1
p_147459_4_,block,-1
p_147796_1_,block,-1
p_147460_3_,z,-1
p_147772_4_,z,-1
